Reference,Reference: DOI,Assay,Section,Pre-vaccine Infection,Vaccine,# Shots,Months,Host,Control,Control: NT50 Cmp,Control: NT50 GeoMean,Control: NT50 GSD,Variant,Variant: Pos,Variant: Mutations,# Results,Potency: NT50 Cmp,Potency: NT50 GeoMean,Potency: NT50 GSD,Fold Reduction: Cmp,Fold Reduction: Median
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,1808.0,1.0,A.23.1,102,R102I + F157L + V367F + E484K + Q613H + P681R,1,=,643.0,1.0,=,2.8
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,1260.0,1.0,A.23.1,102,R102I + F157L + V367F + E484K + Q613H + P681R,1,=,515.0,1.0,=,2.4
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,2651.0,1.0,A.23.1,102,R102I + F157L + V367F + E484K + Q613H + P681R,1,=,882.0,1.0,=,3.0
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,3242.0,1.0,A.23.1,102,R102I + F157L + V367F + E484K + Q613H + P681R,1,=,1875.0,1.0,=,1.7
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,2270.0,1.0,A.23.1,102,R102I + F157L + V367F + E484K + Q613H + P681R,1,=,1184.0,1.0,=,1.9
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,2610.0,1.0,A.23.1,102,R102I + F157L + V367F + E484K + Q613H + P681R,1,=,1441.0,1.0,=,1.8
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,1215.0,1.0,A.23.1,102,R102I + F157L + V367F + E484K + Q613H + P681R,1,=,507.0,1.0,=,2.4
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,1046.0,1.0,A.23.1,102,R102I + F157L + V367F + E484K + Q613H + P681R,1,=,355.0,1.0,=,2.9
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,1808.0,1.0,A.23.1,157,F157L + V367F + Q613H + P681R,1,=,1622.0,1.0,=,1.1
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,1260.0,1.0,A.23.1,157,F157L + V367F + Q613H + P681R,1,=,1136.0,1.0,=,1.1
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,2651.0,1.0,A.23.1,157,F157L + V367F + Q613H + P681R,1,=,1525.0,1.0,=,1.7
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,3242.0,1.0,A.23.1,157,F157L + V367F + Q613H + P681R,1,=,4286.0,1.0,=,0.8
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,2270.0,1.0,A.23.1,157,F157L + V367F + Q613H + P681R,1,=,1865.0,1.0,=,1.2
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,2610.0,1.0,A.23.1,157,F157L + V367F + Q613H + P681R,1,=,2939.0,1.0,=,0.9
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,1215.0,1.0,A.23.1,157,F157L + V367F + Q613H + P681R,1,=,943.0,1.0,=,1.3
Choi21,10.1128/JVI.01313-21,Pseudovirus (VSV),Fig 1A,None,mRNA-1273,2,1m,Human,Wild Type (B.1),=,1046.0,1.0,A.23.1,157,F157L + V367F + Q613H + P681R,1,=,953.0,1.0,=,1.1
